hour,failed_logins,success_logins,privileged_cmds,data_mb,unique_ips,user_id,label
7,1,4,0,12,3,62,0
11,2,1,2,15,1,96,0
1,2,2,0,3,3,94,0
0,1,3,0,1,2,79,0
15,1,1,1,3,1,42,0
22,2,1,0,5,4,28,0
22,2,0,0,11,2,3,0
23,1,2,1,28,2,92,0
4,0,1,0,16,1,5,0
2,1,2,0,3,4,66,0
11,2,4,0,17,1,54,0
7,1,3,0,5,3,38,0
21,1,1,2,1,1,80,0
2,0,3,1,6,1,44,0
0,1,1,2,8,3,81,0
2,0,0,0,14,3,76,0
4,0,3,0,4,4,90,0
14,5,2,2,1,1,57,0
13,0,4,1,0,3,71,0
2,2,1,0,1,4,24,0
0,2,3,0,29,4,80,0
4,1,2,0,30,3,82,0
22,1,0,1,34,3,59,0
13,2,1,2,3,4,8,0
6,1,2,0,2,2,91,0
8,1,4,1,39,3,90,0
14,1,0,1,44,2,95,0
14,1,0,1,0,4,82,0
9,5,2,0,13,1,2,0
12,0,3,0,3,2,41,0
18,1,2,1,24,2,87,0
6,1,1,2,0,2,56,0
16,3,3,0,21,2,48,0
19,0,1,0,0,2,22,0
3,2,1,0,7,2,97,0
4,4,5,0,4,1,18,0
22,0,1,1,5,1,79,0
6,1,1,0,5,1,41,0
12,0,1,0,10,2,67,0
14,0,2,0,0,4,48,0
10,1,2,1,11,3,23,0
3,0,2,1,0,2,2,0
12,0,1,0,2,1,4,0
6,0,1,0,9,4,26,0
18,2,3,1,0,4,19,0
21,0,1,0,46,2,49,0
1,0,0,1,15,1,74,0
9,2,1,0,12,3,86,0
12,0,4,0,3,3,53,0
20,1,1,0,0,1,6,1
5,1,1,1,38,1,62,0
11,1,0,0,1,4,1,0
11,1,3,2,17,2,16,0
19,0,3,1,2,2,52,0
10,0,2,1,4,2,7,0
22,0,0,0,11,3,88,0
6,1,0,0,29,3,35,0
0,4,2,1,0,3,78,0
0,0,2,0,3,2,68,0
19,0,0,1,14,1,15,0
12,0,3,1,1,1,57,0
8,1,2,1,1,2,23,0
2,0,1,0,0,2,83,0
6,2,2,0,6,1,78,0
5,0,2,1,14,1,91,0
7,0,3,0,32,3,86,0
8,2,2,1,3,4,11,0
4,0,2,0,1,4,4,0
0,0,2,1,5,2,58,0
18,0,2,1,0,4,96,0
9,2,0,0,4,4,40,0
11,1,1,1,10,4,58,0
23,2,3,0,1,3,88,0
14,1,4,1,9,3,98,0
21,0,1,0,35,1,67,0
23,0,3,0,19,2,38,0
8,1,4,0,4,4,2,0
19,4,2,0,5,1,87,0
16,1,1,1,5,3,40,0
16,2,1,0,19,4,84,0
19,2,5,0,50,2,56,0
11,1,2,0,17,4,72,0
6,0,1,0,8,3,35,0
1,0,0,0,1,4,49,0
2,0,1,1,30,4,67,0
16,1,1,0,19,4,96,0
4,2,2,0,18,4,95,0
16,1,2,3,4,3,44,0
23,1,0,0,5,1,31,0
16,0,0,0,1,4,65,0
16,1,7,0,27,2,76,0
1,0,0,1,28,4,18,0
1,0,4,2,2,2,88,0
21,0,1,1,11,2,36,0
22,1,3,0,2,4,62,0
4,3,1,0,4,4,29,0
0,1,3,0,3,2,89,0
0,3,1,0,4,3,23,0
18,0,3,0,3,1,3,0
1,1,0,1,4,2,30,0
20,0,2,2,15,3,81,0
11,1,2,0,3,1,45,0
5,0,1,0,16,1,49,0
22,0,3,2,8,1,94,0
3,0,2,1,15,4,19,0
22,1,0,1,25,4,64,0
10,2,3,0,1,2,5,0
23,3,1,0,4,4,56,0
16,2,4,0,0,3,34,0
5,0,1,0,5,1,73,0
23,1,1,1,2,1,48,0
4,1,3,0,8,1,26,0
19,2,2,1,15,4,5,0
1,0,2,0,6,4,88,0
5,2,1,1,4,4,31,0
21,0,3,0,1,3,24,0
10,0,1,2,0,4,85,0
15,0,1,0,11,4,22,0
15,1,3,0,0,4,22,0
0,1,4,0,25,3,85,0
8,1,2,2,9,4,57,0
5,0,1,0,4,2,30,0
15,2,1,0,0,4,47,0
2,2,2,0,5,2,74,0
19,0,2,0,20,3,67,0
3,2,0,1,35,2,39,0
18,2,1,0,0,3,93,0
2,2,1,2,15,4,89,0
18,0,1,1,2,4,66,0
19,3,1,1,4,2,77,0
6,2,2,0,7,4,91,0
19,0,2,1,52,2,29,0
8,0,1,0,2,3,14,0
0,0,2,0,1,4,4,0
7,1,2,0,9,4,72,0
6,1,1,1,19,4,5,0
17,0,1,0,10,1,44,0
7,2,3,1,4,1,91,0
0,0,3,0,37,2,24,0
10,1,3,0,53,1,98,0
17,0,1,0,14,4,28,0
22,1,4,0,16,1,24,0
9,1,3,0,14,2,5,0
2,0,4,2,2,1,13,0
6,0,1,3,1,3,82,0
15,0,0,1,8,3,55,0
15,0,4,0,30,1,81,0
19,0,1,0,21,3,30,0
16,1,1,2,1,3,83,0
1,2,4,0,0,1,86,0
0,0,3,0,20,3,49,0
15,1,1,0,9,2,82,0
11,0,0,2,3,2,90,0
4,2,3,0,8,4,15,0
4,0,2,0,2,2,92,0
22,1,1,0,29,4,30,0
8,1,1,0,17,4,28,0
8,3,2,1,32,1,84,0
2,1,1,0,2,3,4,0
18,0,2,0,18,1,68,0
15,0,1,0,8,4,15,0
15,2,3,0,3,1,34,0
2,0,4,1,6,3,75,0
19,1,6,1,28,3,87,0
23,1,2,1,11,3,99,0
21,1,2,1,4,4,43,0
23,1,2,0,92,1,99,0
0,0,3,0,4,1,75,0
23,0,3,1,16,4,61,0
19,0,2,1,15,4,63,0
10,2,3,0,12,2,2,1
16,2,3,0,11,1,52,0
7,1,3,0,1,3,52,0
3,3,0,0,52,1,15,0
5,1,3,0,1,2,40,0
7,0,2,1,9,3,28,0
19,0,1,1,2,2,95,0
2,0,4,1,1,4,96,0
15,0,3,0,8,4,98,0
2,2,2,1,18,1,55,0
17,0,1,0,4,4,50,0
13,0,4,1,0,4,22,0
17,0,1,1,9,1,29,0
1,0,1,0,14,2,72,0
21,1,1,1,3,2,86,0
2,1,1,0,11,3,12,0
15,4,2,1,0,3,87,0
8,0,1,1,4,2,38,0
3,1,2,2,6,4,2,0
0,1,6,1,15,3,12,0
3,0,2,0,4,2,55,0
0,1,3,0,6,4,85,0
13,1,3,0,9,4,12,0
20,1,2,0,9,2,95,0
15,0,3,1,7,1,9,0
19,1,5,0,3,2,79,0
23,0,1,0,11,4,32,0
7,0,2,0,18,3,73,0
6,0,6,0,1,4,88,0
2,0,4,0,4,4,8,0
16,0,0,1,11,2,28,0
0,0,2,0,14,4,56,0
15,0,1,0,15,1,82,0
11,1,0,0,10,3,36,0
18,0,4,0,6,2,37,0
21,0,3,0,10,1,32,0
22,3,2,0,1,3,85,0
21,1,2,1,2,1,39,0
13,1,0,1,26,4,49,0
5,0,3,1,25,4,93,0
5,0,2,1,12,1,18,0
12,2,4,1,3,3,23,0
18,0,4,0,10,1,33,0
21,1,1,1,11,1,73,0
7,0,0,2,7,1,51,0
1,2,3,0,13,3,43,0
20,1,3,0,0,1,4,0
0,1,1,1,2,4,80,0
14,0,0,1,15,2,67,0
0,0,0,2,27,4,72,0
4,0,3,0,20,4,80,0
15,0,2,0,12,1,2,0
18,3,1,1,1,2,45,0
3,1,3,2,4,1,83,0
2,0,2,0,0,2,88,0
16,1,1,0,10,4,80,0
16,0,2,0,5,3,40,0
11,0,2,0,8,1,2,0
13,1,2,1,38,4,32,0
20,1,1,1,5,2,1,1
5,0,2,0,3,4,18,0
2,0,3,1,1,4,64,0
8,0,4,0,1,4,32,0
4,2,1,1,7,3,9,0
23,2,1,0,13,1,55,0
16,1,3,0,8,1,67,0
13,1,1,1,20,1,24,0
20,1,2,0,3,3,11,0
2,1,6,1,9,3,28,0
0,0,2,0,10,2,16,0
19,0,3,0,3,1,93,0
20,1,1,2,5,2,12,0
22,0,3,0,8,4,68,0
0,1,0,1,0,2,90,0
2,0,4,0,21,2,4,0
17,3,1,0,1,4,75,0
9,1,1,0,0,4,66,0
21,0,2,0,2,2,31,0
2,0,5,0,6,2,56,0
7,1,0,0,3,1,50,0
13,0,0,1,5,3,67,0
23,3,4,1,0,4,89,0
17,0,3,0,2,2,98,0
14,1,0,0,1,3,1,0
21,0,2,0,2,2,69,0
22,2,2,1,12,1,39,0
1,2,0,0,8,2,52,0
9,1,2,1,4,4,95,0
1,0,2,2,3,2,36,0
16,1,4,0,60,2,67,0
7,1,1,1,14,4,12,0
0,1,3,2,17,1,61,0
8,0,3,0,0,4,80,0
10,0,1,0,0,2,72,0
21,3,3,0,12,1,11,0
15,3,1,0,2,4,14,1
6,2,6,0,5,3,91,0
9,2,1,1,2,3,82,0
22,0,3,2,1,3,54,0
2,0,2,0,1,4,8,0
17,2,2,0,9,1,33,0
23,2,2,0,13,4,4,0
12,5,3,2,0,2,30,0
6,0,1,0,3,4,84,0
3,2,1,0,10,3,94,0
12,0,1,0,4,3,91,0
19,1,0,2,12,2,89,0
0,1,3,1,14,4,54,0
7,0,2,0,0,3,6,0
13,1,6,2,4,4,5,0
15,3,0,0,13,3,78,0
13,0,1,0,4,2,51,0
11,2,0,1,0,1,14,0
18,1,2,1,4,1,34,0
22,2,1,1,20,3,41,0
14,0,1,0,30,3,89,0
1,1,3,0,8,4,39,0
1,0,2,0,3,1,18,0
22,1,1,1,6,4,20,0
21,0,1,0,2,3,8,0
18,4,3,0,1,1,26,0
21,1,1,0,6,4,85,0
21,2,1,1,13,3,27,1
16,1,1,1,2,4,32,0
19,0,2,0,24,4,42,0
9,0,2,0,1,3,50,0
5,2,1,0,8,4,81,0
14,0,2,0,14,4,49,0
21,0,1,0,2,1,65,0
10,2,1,0,3,4,63,0
4,1,5,1,0,2,27,0
0,2,2,0,28,3,75,0
7,1,3,2,6,4,35,0
20,2,0,1,0,3,38,0
11,1,2,1,17,2,38,0
11,1,2,1,8,3,42,0
4,1,2,0,0,2,42,0
6,3,3,0,5,2,49,0
3,2,2,0,5,1,57,0
5,0,0,1,1,2,54,0
12,1,1,0,5,1,10,0
19,0,2,0,3,4,60,0
14,0,1,0,12,1,40,0
2,0,2,0,0,1,1,0
22,4,2,0,1,4,86,1
7,0,3,0,25,3,64,0
19,0,4,0,5,3,81,0
15,0,1,0,1,4,12,0
12,2,2,1,15,2,57,0
17,1,2,0,19,1,77,0
9,1,2,0,2,3,89,0
18,2,5,0,12,3,26,0
16,1,3,0,9,2,40,0
23,4,4,2,13,3,43,0
18,2,2,0,15,3,97,0
22,3,1,0,10,3,72,0
4,4,0,0,31,4,13,0
20,1,2,2,19,3,90,0
22,1,2,0,2,3,56,0
8,1,2,0,24,4,17,0
11,2,1,0,4,3,88,0
20,0,2,1,12,2,24,0
0,0,6,0,18,1,76,0
0,1,2,1,5,4,95,0
14,0,2,0,0,4,58,0
1,3,1,0,29,3,80,0
21,0,2,0,0,1,61,0
15,2,1,0,4,2,80,0
7,1,3,0,9,2,94,0
12,1,3,1,1,1,28,0
20,0,5,0,18,1,67,0
0,0,6,1,2,2,97,0
15,0,0,1,42,3,51,0
6,0,4,0,24,1,88,0
4,1,2,0,9,1,94,0
21,1,1,0,10,3,92,0
22,0,1,1,7,4,39,0
2,1,3,0,4,1,66,0
11,2,1,0,4,3,77,0
15,0,2,0,22,2,74,0
18,0,0,2,8,4,40,0
4,0,1,0,17,1,13,0
21,0,2,0,7,3,19,0
13,0,0,0,3,4,6,0
4,0,0,0,0,3,18,0
14,1,3,0,3,2,9,0
16,1,2,1,21,1,81,0
13,0,4,0,12,3,68,0
19,3,3,0,15,1,54,0
4,1,3,1,14,3,50,0
11,0,4,0,1,1,70,0
15,1,4,0,1,1,11,1
15,0,3,0,3,4,55,0
20,0,1,0,3,3,42,0
6,2,0,2,0,3,90,0
3,0,4,1,1,1,11,0
0,0,2,1,19,1,72,0
4,1,2,0,8,4,67,0
22,1,1,0,4,2,2,0
9,1,1,0,7,3,82,0
21,2,4,0,3,1,66,0
4,1,1,1,8,4,26,0
3,1,0,1,0,1,76,0
1,2,3,0,23,3,37,0
19,1,0,0,2,4,90,0
9,0,3,0,17,4,36,0
18,1,0,0,10,1,16,0
0,1,2,0,7,1,78,0
23,0,2,1,26,2,66,0
4,0,2,2,1,2,21,0
12,0,2,1,1,3,7,0
3,1,1,1,3,3,11,0
15,2,3,1,17,4,56,0
23,1,1,1,0,3,44,0
15,0,1,0,2,2,54,0
22,1,2,0,5,2,93,0
1,0,1,1,12,2,57,1
16,2,3,2,3,1,58,0
19,0,2,0,5,2,37,0
23,0,2,0,4,2,48,0
11,1,2,2,0,3,62,1
17,1,2,1,13,2,39,0
2,1,1,0,6,2,92,0
0,3,1,1,16,1,64,0
0,2,4,1,11,2,68,0
18,1,4,0,0,3,68,0
10,0,4,0,6,1,27,0
4,1,3,0,46,4,70,0
11,1,1,0,3,2,98,0
2,3,2,1,6,2,82,1
0,0,2,1,10,2,60,0
0,1,2,1,2,4,44,0
7,0,3,0,12,1,30,0
9,1,1,0,10,1,97,0
10,1,3,0,4,2,58,0
11,0,5,0,3,4,84,0
12,0,2,1,25,3,36,0
11,4,2,0,1,4,5,0
13,1,3,1,5,2,99,0
1,1,3,2,14,4,19,0
18,3,2,0,1,1,12,0
17,2,3,0,27,1,90,0
2,0,2,0,7,1,60,0
22,2,3,0,7,3,83,0
16,1,2,0,5,4,11,0
7,0,5,1,20,2,53,0
9,1,0,0,29,2,20,0
1,0,0,0,4,1,73,0
18,0,5,0,7,2,84,0
8,1,2,0,3,3,27,0
6,2,2,1,4,4,58,0
3,1,3,1,0,3,5,0
20,3,4,1,15,4,74,0
17,1,0,0,34,4,9,0
12,0,0,0,14,4,89,0
10,1,4,2,7,2,77,1
23,1,1,0,17,2,32,0
3,0,0,0,19,2,72,0
20,1,3,0,7,2,54,0
3,2,2,0,27,2,45,0
9,0,1,0,0,2,27,0
4,3,0,0,0,1,86,0
8,2,2,1,0,1,28,0
23,0,0,1,0,1,18,0
2,0,0,1,5,3,87,0
16,1,2,0,28,3,31,0
2,1,4,1,11,3,41,0
15,1,2,0,10,4,34,0
3,0,2,0,4,4,7,0
17,3,1,0,7,3,5,0
16,2,2,0,3,1,21,0
6,0,4,0,7,2,6,0
23,3,1,0,13,2,45,0
22,2,3,0,8,2,35,0
4,0,0,4,5,4,87,0
11,1,2,1,18,3,3,0
16,0,4,1,3,1,33,0
22,2,2,1,6,2,38,0
12,1,2,0,38,3,87,0
22,0,0,2,34,3,80,0
2,1,2,1,0,4,89,0
8,0,0,1,7,4,16,0
16,0,2,1,4,4,89,0
16,0,3,1,3,4,71,0
19,1,1,0,9,3,8,0
15,1,1,0,5,4,3,0
21,1,2,0,13,2,69,0
12,1,2,0,0,1,19,0
18,0,5,1,26,4,7,0
16,1,3,0,8,2,86,0
3,1,2,0,11,1,90,0
11,1,0,0,9,4,50,0
8,1,1,0,45,4,89,0
18,0,2,1,42,1,6,0
11,2,0,0,9,2,5,0
8,0,1,0,11,2,61,0
6,0,3,3,9,3,86,0
13,0,2,3,3,3,95,0
19,0,3,1,2,4,58,0
18,1,2,0,5,2,22,0
14,0,2,0,11,2,57,0
15,1,2,2,0,4,75,0
20,0,5,1,7,1,32,0
4,0,2,1,5,1,17,0
2,1,1,0,7,3,58,0
11,1,2,1,19,4,41,0
19,1,1,2,0,1,22,0
20,2,1,1,14,4,80,0
3,0,1,0,10,2,42,0
20,0,1,0,2,1,79,0
22,0,4,2,13,1,8,0
15,0,2,0,6,1,46,0
6,0,0,0,6,2,48,0
12,1,0,0,6,3,3,0
20,1,1,0,29,4,77,0
9,1,1,1,28,1,30,0
6,1,2,1,24,2,28,0
13,3,0,0,21,1,73,0
4,0,3,1,0,4,76,0
2,0,2,0,5,4,25,0
22,1,1,0,22,1,37,0
10,1,4,1,14,2,85,0
10,0,3,1,6,1,51,0
17,0,2,0,14,2,39,0
14,0,9,1,2,3,83,0
11,2,4,0,9,1,72,0
8,3,3,0,7,2,67,0
9,1,2,1,8,1,86,0
11,0,4,0,12,4,1,1
16,1,1,1,29,4,38,0
5,0,4,0,3,1,52,0
6,0,1,0,14,1,63,0
13,0,3,1,10,2,52,0
12,1,4,0,11,2,83,0
7,0,1,0,5,4,85,0
9,1,1,0,28,2,60,0
8,1,2,1,6,4,13,0
17,1,1,0,1,3,91,0
1,3,4,0,11,1,17,0
4,1,4,0,1,2,84,0
4,1,1,1,3,4,30,0
5,0,3,0,2,4,38,0
18,0,3,1,7,1,11,0
7,0,2,1,4,1,27,0
15,0,1,0,1,1,38,0
12,2,1,0,15,2,28,0
0,1,2,0,6,3,26,0
21,0,1,1,6,3,33,0
19,0,2,0,21,3,32,0
16,0,2,0,7,3,54,0
6,1,2,1,12,4,25,0
12,0,2,0,3,2,24,0
3,3,2,0,8,3,40,0
3,1,3,1,12,3,27,0
5,1,0,0,3,2,46,0
18,2,2,1,11,2,86,0
11,2,1,0,8,1,84,0
21,1,1,1,5,1,97,0
6,1,1,1,12,3,69,0
9,3,2,0,3,4,93,0
18,0,1,0,12,1,69,0
6,1,1,1,8,2,39,0
2,1,3,0,2,1,81,0
12,0,3,0,11,1,29,0
12,1,4,0,21,2,75,0
17,0,2,2,3,3,86,0
19,0,1,0,16,1,31,0
7,0,3,0,4,1,65,0
8,0,3,1,17,3,15,0
6,0,7,0,0,1,83,0
0,1,0,0,0,4,74,0
2,1,2,0,1,3,9,0
12,2,1,0,20,4,13,0
16,4,2,0,7,2,45,0
23,2,3,0,9,4,90,0
0,0,0,0,18,2,6,0
5,2,3,0,0,3,44,0
20,0,2,0,4,2,2,0
5,0,2,2,10,2,29,0
11,2,0,0,5,2,48,0
12,1,1,1,0,2,12,0
12,0,0,0,10,4,87,0
14,3,1,0,4,2,67,0
20,2,1,0,0,2,50,0
15,2,3,0,1,1,11,0
21,0,0,0,2,1,5,0
20,0,1,0,7,1,45,0
10,1,0,0,2,2,74,0
4,0,3,1,4,1,47,0
3,0,1,1,13,4,6,0
2,0,2,0,16,3,80,0
18,1,5,1,15,3,95,0
19,3,2,1,11,3,87,0
17,4,3,0,7,1,94,0
14,0,2,0,7,2,84,0
8,0,1,1,30,3,89,0
16,1,2,0,21,4,99,1
13,0,3,1,10,1,69,0
14,1,5,1,6,1,63,0
0,0,4,1,13,4,67,0
20,1,2,0,0,2,47,0
21,1,2,1,28,2,34,0
21,2,2,0,7,4,12,0
2,1,1,1,6,4,27,0
15,4,1,2,3,1,69,0
22,0,1,1,0,4,86,0
10,0,4,1,0,2,68,0
11,3,3,1,3,2,28,0
9,1,2,2,7,2,71,0
15,0,2,0,0,2,45,0
7,1,3,1,35,2,98,0
5,2,1,0,5,1,2,0
11,1,2,0,3,4,9,0
23,0,2,0,7,4,79,0
20,4,2,0,0,3,31,0
7,0,5,0,19,1,36,0
3,1,3,0,6,1,15,0
7,0,5,0,1,1,97,0
17,0,1,0,1,1,62,0
4,2,1,0,4,1,31,0
8,2,4,0,8,2,27,0
3,0,2,0,5,3,2,0
21,1,3,0,9,2,73,0
16,1,1,1,12,3,43,0
8,1,4,0,13,1,1,0
0,4,3,0,5,1,83,0
20,0,2,1,12,4,9,0
19,1,2,1,1,1,60,0
12,1,2,0,7,1,2,0
15,1,1,1,0,1,58,0
12,2,4,4,2,1,65,0
13,1,1,0,8,1,12,0
2,2,1,0,13,3,55,0
5,1,5,1,1,4,90,0
17,0,1,0,2,1,10,0
18,1,0,1,48,1,65,0
4,2,1,1,4,1,65,0
14,1,1,0,3,3,61,0
1,1,2,1,0,3,95,0
9,0,2,1,11,4,75,0
23,0,2,0,7,1,69,0
17,2,0,0,1,4,35,0
12,2,0,1,10,2,11,0
4,0,2,0,7,3,68,0
22,2,5,0,8,1,38,0
23,4,4,0,52,3,39,0
0,0,2,0,0,4,21,0
21,0,4,0,24,2,36,0
0,1,2,1,18,1,92,0
17,1,2,0,5,3,72,0
14,0,1,1,21,2,20,0
16,1,3,1,10,4,43,0
10,0,2,1,22,4,21,0
20,1,2,0,9,3,35,0
21,0,3,1,2,3,64,0
16,0,1,1,8,1,32,0
12,2,0,0,1,4,36,0
0,3,2,1,1,1,69,0
1,3,1,0,10,3,52,0
8,2,4,2,29,2,4,0
2,2,4,2,8,1,7,0
0,1,1,1,15,4,98,0
20,0,3,1,1,3,84,0
15,1,2,2,10,3,71,0
22,0,2,1,13,1,24,0
5,0,1,1,0,1,21,0
16,1,1,1,1,3,57,0
4,0,2,1,15,1,73,0
4,4,1,0,5,3,19,0
5,1,2,0,5,4,84,0
2,2,3,0,25,2,28,0
20,1,2,1,48,1,32,0
22,2,1,3,14,4,34,0
4,1,2,0,15,4,16,0
20,4,3,0,2,1,38,0
4,2,1,0,2,4,81,0
9,2,2,1,39,3,75,0
9,1,0,1,11,1,4,0
18,2,3,0,11,2,56,0
16,2,1,0,3,3,40,0
20,2,3,1,21,4,50,0
13,0,3,0,0,4,40,0
8,1,2,2,3,2,82,0
13,1,1,0,1,2,49,0
0,1,2,0,12,4,48,0
18,1,2,1,12,2,6,0
12,2,3,1,7,2,96,0
12,0,4,0,0,4,5,0
3,0,2,0,20,3,79,0
0,0,0,1,31,1,45,0
16,1,4,1,2,4,16,0
7,1,5,0,18,2,17,0
1,1,5,0,36,2,59,0
7,0,2,0,3,3,56,0
6,1,1,1,2,4,79,0
1,0,3,0,37,4,35,0
21,1,1,0,0,2,8,0
21,1,2,1,3,4,99,0
2,1,3,0,13,2,61,0
17,0,2,1,9,2,27,0
11,2,2,1,11,2,78,0
0,1,3,0,12,1,87,0
21,1,3,1,11,2,20,0
11,0,3,0,4,3,57,0
4,1,1,0,3,4,70,0
16,1,2,0,5,1,88,0
15,0,2,1,16,4,23,0
14,1,4,1,27,3,76,0
22,1,2,0,6,1,2,0
14,1,1,0,0,4,27,0
4,0,2,0,27,1,32,0
20,2,4,1,0,2,93,0
13,2,2,0,1,2,50,0
1,1,3,1,20,4,64,0
10,5,2,0,8,3,40,0
18,0,0,0,4,1,33,0
6,1,1,2,26,1,29,0
5,1,2,1,32,4,33,0
1,0,0,1,4,2,17,0
5,0,0,0,20,1,74,0
17,1,2,0,11,2,65,0
1,1,2,2,3,2,43,0
17,1,1,0,28,3,63,0
14,0,0,0,0,2,81,0
18,0,2,1,3,2,92,0
1,1,3,1,5,1,58,0
19,0,0,0,11,3,91,0
5,1,2,1,0,3,43,0
0,1,0,0,22,4,37,0
23,2,0,1,10,4,46,0
14,2,3,1,3,4,25,0
22,2,2,0,10,3,98,0
9,1,3,1,7,2,67,0
18,0,2,1,4,3,93,0
16,0,1,0,0,2,99,0
4,0,2,2,8,4,51,0
3,1,1,0,0,4,74,0
9,3,3,0,16,2,38,0
23,2,2,0,0,2,38,0
16,0,2,0,5,4,1,0
9,2,3,0,5,2,54,0
16,0,1,1,8,3,65,0
19,0,2,1,0,4,96,0
23,2,2,1,2,3,22,0
4,0,2,1,2,4,61,0
1,1,0,1,9,1,58,0
5,0,1,0,3,3,54,0
20,1,2,1,1,1,19,0
1,0,1,1,0,4,99,0
12,1,2,0,18,3,70,0
10,3,1,0,35,3,34,0
10,0,1,0,12,3,79,0
15,0,2,0,5,2,44,0
10,2,0,1,1,3,67,0
18,3,2,0,6,3,52,0
14,0,4,1,6,1,22,0
22,1,0,0,5,3,29,0
22,0,1,1,4,2,14,0
15,2,1,0,6,3,94,0
10,2,2,1,0,1,62,0
21,0,1,0,0,3,15,0
15,0,1,0,0,3,93,0
7,3,1,0,2,1,14,0
3,0,1,0,3,4,67,0
7,0,4,1,1,3,22,0
3,1,1,0,2,4,97,0
23,0,2,0,2,1,87,0
2,1,2,0,1,1,7,0
2,0,1,1,3,4,84,0
17,1,2,0,5,2,7,0
18,0,1,1,13,2,17,0
18,2,3,0,31,1,32,0
20,1,3,1,25,2,79,0
4,2,2,3,6,2,77,0
17,1,1,0,6,1,56,0
9,0,3,4,1,3,62,0
21,1,6,0,35,3,58,0
20,0,2,0,14,3,58,1
5,3,1,0,18,2,3,0
0,1,3,0,2,4,89,0
4,0,2,0,5,2,96,0
8,1,1,0,1,3,80,0
11,0,2,0,28,1,1,0
13,1,1,1,3,1,67,0
1,0,2,0,9,1,20,0
